Movie_ID	title	runtime	theatre_count
568	vse ili nichego (russia) (2018)	95.0	
569	uomo che compro la luna l (italy) (2018)	105.0	
570	spitak (armenia) (2018)	98.0	
571	seven deadly sins prisoners of the sky the (japan) (2018)	99.0	
572	ride (2) (italy) (2018)	95.0	
573	se son rose (italy)(2018)	90.0	
574	saem (s korea)(2018)	106.0	
575	que leon (dominican republic)	93.0	
576	provodnik (russia) (2018)	89.0	
577	si tu voyais son coeur (france) (2017)	86.0	
578	shadowman (2017 documentary)	83.0	1.0
579	prani k mani (cz)	90.0	
580	psychopaths (2017)	81.0	
581	perfectos desconocidos (spain) (2017)	97.0	
582	posoki (bulgaria)	103.0	
583	shape of water the	123.0	2.0
584	plonger (france)	102.0	
585	o fim da inocencia (portugal)	97.0	
586	opera de paris don carlos (france 2017)	280.0	
587	new radical the	117.0	
588	ninato (spain)	72.0	
589	mujeres en foco film festival (2017)		
590	maximum impact (2017)	109.0	
591	metallica quebec magnetic	177.0	
592	love beats rhymes	106.0	
593	love cecil (documentary)	99.0	1.0
594	life and nothing more (spain) (2018)	114.0	6.0
595	kvarteto (cz)	93.0	
596	kolovrat (russia)	117.0	
597	korfez (turkey)	110.0	
598	mao pai jian hu ren (china) (2017)	92.0	
599	kill me please (china)	98.0	
600	meow wolf origin story (documentary) (2018)	88.0	
601	kiwi christmas (nz)	89.0	
602	mowgli legend of the jungle (2018)	104.0	
603	respect (s korea)(2018)	98.0	
604	os parcas (brazil)	100.0	
605	gukgabudoui nal (south korea) (2018)	114.0	
606	from the mountain a smile (china)(2018)	104.0	
607	hello life (china)(2018)	94.0	
608	possession of hannah grace the (2018)	85.0	2065.0
609	piripkura (documentary) (brazil) (2018)	82.0	
610	super kids attack (china) (2018)	93.0	
611	zhong guo lan kui (china)(2018)	99.0	
612	mult v kino vypusk no 85 (russia) (2018)		
613	doubles vies (france) (2018)	107.0	2.0
614	write when you get work (2018)	99.0	
615	vendran lluvias suaves (argentina) (2018)	81.0	
616	unidad xv (argentina) (2018)	104.0	
617	yomeddine (egypt) (2018)	97.0	4.0
618	thimiru pudichavan (india)(2018)	156.0	
619	8 remains (germany) (2018)	80.0	
620	todas las mujeres que conozco (2018 spain)	71.0	
621	unga astrid (sweden)	123.0	3.0
622	jupiter holdja (hungary)	129.0	
623	inoperable (2017)	85.0	
624	keplers dream	90.0	
625	judge zhongkui (china) (2017)	100.0	
626	grudge the (china)	96.0	
627	hagane no renkinjutsushi (japan)	135.0	
628	gecmisteki sir (turkey)	105.0	
629	gangster land	113.0	
630	firangi (india)	98.0	
631	est tout pour moi c (france)	99.0	
