title,international_box_office,domestic_box_office,worldwide_box_office,production_budget,normalized_title,Movie_ID
qian ren 3 yan zhi da zuo zhan,306710033,837791,307547824,,qian ren 3 yan zhi da zuo zhan,217
revenge girl,1302754,,1302754,,revenge girl,218
phantom thread,26613994,21198205,47812199,35000000,phantom thread,219
berliner philharmoniker new year s eve concert,83045,,83045,,berliner philharmoniker new year s eve concert,220
yao mao zhuan,97033612,,97033612,,yao mao zhuan,221
all the money in the world,31784324,25106325,56890649,50000000,all the money in the world,222
tri bogatyrya i printsessa egipta,14184772,,14184772,,tri bogatyrya i printsessa egipta,223
tout l haut,2354121,,2354121,,tout l haut,224
tiger zinda hai,70959455,5560921,76520376,,tiger zinda hai,225
velaikkaran,9886215,,9886215,,velaikkaran,226
the second time around,,3837,,,the second time around,227
paris opera ballet tribute to jerome robbins,5259,,5259,,paris opera ballet tribute to jerome robbins,228
painted skin the double mask,468683,,468683,,painted skin the double mask,229
mochila de plomo,4955,,4955,,mochila de plomo,230
yolki novye,15738222,,15738222,,yolki novye,231
the mule,69649587,103804407,173453994,50000000,the mule,232
odiyan,79385,,79385,,odiyan,233
miamor perdido,1562666,,1562666,,miamor perdido,234
met opera la traviata,410916,,410916,,met opera la traviata,235
ming wang xing shi ke,83081,,83081,,ming wang xing shi ke,236
the man who stole banksy,89674,,89674,,the man who stole banksy,237
keepers of the flame,1361,,1361,,keepers of the flame,238
journal 64,226791,,226791,,journal 64,239
jesucristo superstar un hito en la historia del musical espa ol,10,,10,,jesucristo superstar un hito en la historia del musical espa ol,240
johnny,248,,248,,johnny,241
holding hands,5356,,5356,,holding hands,242
haru matsu bokura,1302229,,1302229,,haru matsu bokura,243
impulso,2580,,2580,,impulso,244
eoleuni doimyeon,27150,,27150,,eoleuni doimyeon,245
if beale street could talk,6482598,14915773,21398371,12000000,if beale street could talk,246
den pobedy,2324,,2324,,den pobedy,247
dragon ball super broly,92371000,30376755,122747755,8500000,dragon ball super broly,248
the first time,62950,,62950,,the first time,249
conversazioni atomiche,2116,,2116,,conversazioni atomiche,250
da xiang xi di er zuo,14702,,14702,,da xiang xi di er zuo,251
