year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2000,June 23rd,me myself irene,Romantic Comedy,"58700000,00","51000000,00",31801
2000,June 23rd,me myself irene,Romantic Comedy,"58700000,00","51000000,00",34287
2000,June 21st,chicken run,Adventure,"121000000,00","42000000,00",21152
2000,June 16th,la lengua de las mariposas,Drama,,,21153
2000,June 16th,shaft,Action,"36862240,00","53012938,00",21154
2019,June 14th,shaft,Comedy,,"30000000,00",21154
2000,June 16th,jesus son,Drama,"405464,00","2500000,00",21155
2000,June 16th,jesus son,Drama,"405464,00","2500000,00",31458
2000,June 16th,titan a e,Adventure,"14000000,00","75000000,00",21156
2000,June 16th,eastside,Drama,,,21158
2000,June 14th,humanite,,,,21323
2000,June 9th,pop me,Documentary,,,21324
2000,June 9th,pop me,Documentary,,,32224
2000,June 9th,pop me,Documentary,,,34296
2000,June 16th,boys and girls,Romantic Comedy,,"16000000,00",21325
2000,June 9th,lost in the pershing point hotel,Comedy,,,21326
2000,June 9th,josh,Drama,,,21328
2000,June 9th,love s labour s lost,Romantic Comedy,,,21329
2000,June 9th,gone in 60 seconds,Action,"131000000,00","103300000,00",21330
2000,June 9th,the children of chabannes,Documentary,,,21331
2000,June 9th,groove,Comedy,"52211,00","500000,00",21332
2000,June 9th,catfish in black bean sauce,Comedy,,,21333
2000,June 2nd,running free,,,,21334
2000,June 2nd,un pour toutes,,,,21335
2000,June 9th,american pimp,Documentary,,,21336
2000,June 2nd,new waterford girl,Comedy,,,21337
2000,June 2nd,grass,,,,21338
2000,May 27th,donggam,Drama,"28080,00",,21339
2000,June 2nd,big momma s house,Comedy,"56000000,00","33000000,00",21340
2000,May 26th,the trial of old drum,Drama,,,21341
2000,May 26th,passion of mind,Drama,,,21342
2000,May 26th,shanghai noon,Western,"14257530,00","55000000,00",21343
2000,May 26th,kikujiro,Drama,"1330000,00",,21346
2000,May 26th,hum to mohabbt karega,Drama,,"2000000,00",21500
2000,May 26th,ground zero,,,,21502
2000,May 26th,le derriere,,,,21503
2000,May 26th,better living through circuitry,Documentary,,,21504
2000,May 26th,8 women,Drama,,,21505
